country_code,country_name,region_group,is_eu_member,lfp_allowed,nmc_allowed_new_2025,nca_allowed,sodium_ion_approved,solid_state_pilot,v2g_grid_code_ready,frequency_market_eligible,capacity_market_eligible,sub_metering_required,min_carbon_threshold_kg_co2_per_kwh,min_recycled_content_pct,digital_passport_required_from,feed_in_tariff_eur_per_kwh,demand_charge_eur_per_kw_month,grid_price_peak_eur_per_kwh,grid_price_offpeak_eur_per_kwh,co2_intensity_grid_g_per_kwh,primary_regulator,regulation_short_name,regulation_url,notes,last_updated_date
DE,Germany,DACH,true,true,false,true,true,true,true,true,true,true,100,10,2026-01-01,0.082,13.50,0.285,0.062,338,Bundesnetzagentur (BNetzA),EU 2023/1542 + BattG + EEG 2023,https://www.bmuv.de,Largest EU battery market. NMC banned for new commercial installations from 2025-01 due to carbon footprint thresholds. FCR/aFRR markets fully open. V2G pilot under §14a EnWG.,2026-05-21
AT,Austria,DACH,true,true,false,true,true,false,true,true,false,true,100,10,2026-01-01,0.075,11.20,0.248,0.055,162,E-Control,EU 2023/1542 + ElWOG 2010,https://www.e-control.at,Hydropower dominant (low CO2 grid). NMC restrictions follow DE pattern. Strong incentive for self-consumption via EAG 2021. Solid-state pilots not yet approved.,2026-05-21
CH,Switzerland,DACH,false,true,true,true,true,true,false,false,false,true,120,8,2027-01-01,0.095,9.80,0.218,0.078,124,ElCom,Bundesgesetz Stromversorgung StromVG,https://www.elcom.admin.ch,Non-EU but follows EU regs voluntarily. Lower CO2 grid due to hydro+nuclear. Slightly relaxed thresholds. V2G regulation still in consultation.,2026-05-21
NL,Netherlands,Benelux,true,true,true,true,true,true,true,true,true,true,100,10,2026-01-01,0.108,14.80,0.302,0.071,355,Autoriteit Consument & Markt (ACM),Energiewet 2024 + EU 2023/1542,https://www.acm.nl,V2G most mature market in EU (Utrecht pilots). High feed-in tariff post-2024 reform. Frequency market open via TenneT NL.,2026-05-21
BE,Belgium,Benelux,true,true,true,true,false,false,false,true,false,true,100,10,2026-01-01,0.085,12.40,0.265,0.069,165,CREG,EU 2023/1542 + Federal Electricity Act,https://www.creg.be,Three-region complexity (Flanders/Wallonia/Brussels). Lower nuclear share post-2025 will raise grid CO2. Modest battery adoption.,2026-05-21
LU,Luxembourg,Benelux,true,true,true,true,false,false,false,true,false,false,100,10,2026-01-01,0.092,11.80,0.258,0.074,72,ILR,EU 2023/1542 + Loi du 1er août 2007,https://web.ilr.lu,Small market but high GDP/capita. Most electricity imported from FR/DE/BE (low local CO2 attribution). Battery uptake niche but premium.,2026-05-21
DK,Denmark,Nordics,true,true,true,true,true,true,true,true,true,true,100,10,2026-01-01,0.068,8.90,0.198,0.048,135,DERA (Forsyningstilsynet),EU 2023/1542 + Energiloven,https://forsyningstilsynet.dk,World leader in wind. Frequency market via Energinet most volatile in EU = highest FCR revenues. Strong V2G grid code already drafted.,2026-05-21
SE,Sweden,Nordics,true,true,true,true,true,false,true,true,false,true,100,10,2026-01-01,0.052,7.40,0.182,0.041,12,Energimarknadsinspektionen (EI),EU 2023/1542 + Ellagen,https://ei.se,Lowest grid CO2 in Europe (hydro+nuclear). Self-consumption ROI weaker but capacity market revenue strong. Cold climate favors LFP+Sodium-Ion.,2026-05-21
FI,Finland,Nordics,true,true,true,true,true,false,false,true,false,true,100,10,2026-01-01,0.058,7.90,0.188,0.044,68,Energiavirasto,EU 2023/1542 + Sähkömarkkinalaki,https://energiavirasto.fi,Cold-climate stress tests batteries — thermal management required for NMC/NCA. Sodium-Ion ideal candidate. Fingrid runs FCR-N market.,2026-05-21
NO,Norway,Nordics,false,true,true,true,true,true,true,true,false,true,100,10,2027-01-01,0.045,6.80,0.165,0.038,8,Reguleringsmyndigheten for energi (RME),Energiloven + EEA agreement,https://www.nve.no,Non-EU (EEA). Hydropower 96% — grid CO2 near zero. Statnett FCR market lucrative. V2G mature — Oslo trial fleets active.,2026-05-21
TR,Turkey,Non-EU,false,true,true,true,false,false,false,false,false,false,150,5,N/A,0.045,7.20,0.142,0.058,442,EPDK,Elektrik Piyasası Kanunu No.6446,https://www.epdk.gov.tr,Non-EU — relaxed thresholds. NMC still common. Battery market growing but regulation lags. EXIST day-ahead market provides TOU signal.,2026-05-21
UK,United Kingdom,Non-EU,false,true,true,true,true,true,true,true,true,true,110,8,2026-04-01,0.095,12.20,0.275,0.062,210,Ofgem,UK Battery Regulations 2024 (post-Brexit divergence),https://www.ofgem.gov.uk,Post-Brexit divergence — slightly relaxed than EU 2023/1542 (UK BR 2024). Capacity Market (T-4/T-1 auctions) major revenue. National Grid ESO Dynamic Containment market for frequency.,2026-05-21
